Project Title,City,State,ZIP,Award,Location
Quitman County School District,Marks,MS,38646,u215x100001,"Marks, MS 38646
(34.27, -90.29)"
Peach County Board of Education,Fort Valley,GA,31030,u215x100002,"Fort Valley, GA 31030
(32.57, -83.89)"
Panhandle Area Educational Consortium,Chipley,FL,32428,u215x100003,"Chipley, FL 32428
(30.62, -85.58)"
Albuquerque Public Schools,Albuquerque,NM,87110,u215x100004,"Albuquerque, NM 87110
(35.11, -106.58)"
"Education Service Center, Region 20",San Antonio,TX,78208,u215x100005,"San Antonio, TX 78208
(29.44, -98.46)"
Midland Independent School District,Midland,TX,79701,u215x100006,"Midland, TX 79701
(31.99, -102.08)"
School Board of Miami-Dade County,Miami,FL,33132,u215x100007,"Miami, FL 33132
(25.78, -80.17)"
"Education Service Center, Region 2",Corpus Christi,TX,78401,u215x100008,"Corpus Christi, TX 78401
(27.8, -97.4)"
School District of Clay County,Green Cove Springs,FL,32043,u215x100010,"Green Cove Springs, FL 32043
(29.95, -81.74)"
Diamond R-IV School District,Diamond,MO,64840,u215x100011,"Diamond, MO 64840
(37.02, -94.34)"
Beeville Independent School District,Beeville,TX,78102,u215x100013,"Beeville, TX 78102
(28.43, -97.74)"
Chama Valley Independent Schools,Tierra Amarilla,NM,87575,u215x100014,"Tierra Amarilla, NM 87575
(36.65, -106.52)"
Putnam City Schools,Oklahoma City,OK,73122,u215x100016,"Oklahoma City, OK 73122
(35.52, -97.61)"
North Callaway R-1 School District,Kingdom City,MO,65262,u215x100017,"Kingdom City, MO 65262
(38.96, -91.95)"
San Antonio Independent School District,San Antonio,TX,78210,u215x100018,"San Antonio, TX 78210
(29.4, -98.47)"
Turner Unified School District #202,Kansas City,KS,66101,u215x100019,"Kansas City, KS 66101
(39.12, -94.63)"
EAST CENTRAL BOCES,Limon,CO,80828,u215x100020,"Limon, CO 80828
(39.32, -103.7)"
Arcadia Valley RII School District,Ironton,MO,63650,u215x100021,"Ironton, MO 63650
(37.61, -90.62)"
Coastal Plains RESA,Lenox,GA,31637,u215x100022,"Lenox, GA 31637
(31.29, -83.44)"
Galena Park Independent School District,Houston,TX,77015,u215x100023,"Houston, TX 77015
(29.77, -95.17)"
Toledo Public Schools,Toledo,OH,43608,u215x100024,"Toledo, OH 43608
(41.68, -83.53)"
Alpine Independent School District,Alpine,TX,79830,u215x100026,"Alpine, TX 79830
(29.92, -103.52)"
